category,avg(discount),avg(discount_no_null)
FAST FOOD,42.61019490254873,29.72907949790795
SHABU,42.687269508777106,29.80656126075089
BUBBLE TEA,42.06365071015255,29.365773044436285
DIMSUM,42.93297851369998,30.03295642581357
NOODLES,43.095354523227385,29.86266693242974
BREAKFAST,42.12156862745098,30.002793296089386
SEAFOOD,42.772121710526314,29.86729068565522
STEAK,42.676991150442475,29.90822996982903
CAKE,42.62247811191473,29.824665379236865
THAI FOOD,42.74859019438731,29.806156906281803
ICECREAM,42.73365401745947,29.806644022864717
SOMTAM,42.79023354564756,29.877254533774767
JAPANESE FOOD,42.83465300419189,29.98891304347826
WESTERN FOOD,42.66602169856955,29.8198502777107
